Sample in Buffer,Sample in Window,TRIGGER,EXP_IBUF[15:0],clk50M_IBUF,HADDRI[31:0],HRDATAI[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
136,136,0,ff5e,0,0000003c,00000000
137,137,0,ff5e,0,00000380,000002c1
138,138,0,ff5e,0,000002c4,00000000
139,139,0,ff5e,0,000002c4,00000000
140,140,0,ff5e,0,000002c0,00000000
141,141,0,ff5e,0,000002c4,68004802
142,142,0,ff5e,0,000002c8,49011c40
143,143,0,ff5e,0,000002cc,47706008
144,144,0,ff5e,0,000002cc,00000000
145,145,0,ff5e,0,000002cc,00000000
146,146,0,ff5e,0,000002cc,00000000
147,147,0,ff5e,0,000002cc,20000004
148,148,0,ff5e,0,000002cc,00000000
149,149,0,ff5e,0,000002d0,00000000
150,150,0,ff5e,0,000002d0,20000004
151,151,0,ff5e,0,000002d4,4811b51f
152,152,0,ff5e,0,000002d4,00000000
153,153,0,ff5e,0,000002d4,20000004
154,154,0,ff5e,0,1ffffff8,00000000
155,155,0,ff5e,0,1ffffffc,00000000
156,156,0,ff5e,0,1ffffffc,00000000
157,157,0,ff5e,0,1ffffffc,00000000
158,158,0,ff5e,0,00000290,00000000
159,159,0,ff5e,0,00000294,00000000
160,160,0,ff5e,0,00000294,47706108
161,161,0,ff5e,0,00000298,21e0f04f
162,162,0,ff5e,0,0000029c,47706148
163,163,0,ff5e,0,0000029c,00000000
164,164,0,ff5e,0,0000029c,00000000
165,165,0,ff5e,0,0000037c,00000000
166,166,0,ff5e,0,00000380,f7ff4610
167,167,0,ff5e,0,00000384,2000ff89
168,168,0,ff5e,0,00000384,00000000
169,169,0,ff5e,0,00000294,ff8af7ff
170,170,0,ff5e,0,00000298,21e0f04f
171,171,0,ff5e,0,0000029c,47706148
172,172,0,ff5e,0,000002a0,21e0f04f
173,173,0,ff5e,0,000002a4,47706188
174,174,0,ff5e,0,00000380,00000000
175,175,0,ff5e,0,00000384,2000ff89
176,176,0,ff5e,0,00000388,ff8af7ff
177,177,0,ff5e,0,00000388,00000000
178,178,0,ff5e,0,0000029c,f7ff2007
179,179,0,ff5e,0,000002a0,21e0f04f
180,180,0,ff5e,0,000002a4,47706188
181,181,0,ff5e,0,000002a8,2000b510
182,182,0,ff5e,0,000002ac,fff0f7ff
183,183,0,ff5e,0,00000388,00000000
184,184,0,ff5e,0,0000038c,f7ff2007
185,185,0,ff5e,0,00000390,bf30ff7f
186,186,0,ff5e,0,00000390,00000000
187,187,0,ff5e,0,0000028c,b530bd00
188,188,0,ff5e,0,00000290,21e0f04f
189,189,0,ff5e,0,00000294,47706108
