Sample in Buffer,Sample in Window,TRIGGER,EXP_IBUF[15:0],clk50M_IBUF,HADDRI[31:0],HRDATAI[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
135,135,0,ff5e,0,000003c8,00000000
136,136,0,ff5e,0,000003c8,00000000
137,137,0,ff5e,0,000003c8,00000000
138,138,0,ff5e,0,000003c8,00000000
139,139,0,ff5e,0,000003c8,00000000
140,140,0,ff5e,0,000003c8,00000000
141,141,0,ff5e,0,000003c8,00000000
142,142,0,ff5e,0,000003c8,00000000
143,143,0,ff5e,0,0000003c,00000000
144,144,0,ff5e,0,000003c8,000002ed
145,145,0,ff5e,0,000002f0,00000000
146,146,0,ff5e,0,000002f0,00000000
147,147,0,ff5e,0,000002ec,00000000
148,148,0,ff5e,0,000002f0,68004802
149,149,0,ff5e,0,000002f4,49011c40
150,150,0,ff5e,0,000002f8,47706008
151,151,0,ff5e,0,000002f8,00000000
152,152,0,ff5e,0,000002f8,00000000
153,153,0,ff5e,0,000002f8,00000000
154,154,0,ff5e,0,000002f8,20000004
155,155,0,ff5e,0,000002f8,00000000
156,156,0,ff5e,0,000002fc,00000000
157,157,0,ff5e,0,000002fc,20000004
158,158,0,ff5e,0,00000300,4811b51f
159,159,0,ff5e,0,00000300,00000000
160,160,0,ff5e,0,00000300,20000004
161,161,0,ff5e,0,1ffffff8,00000000
162,162,0,ff5e,0,1ffffffc,00000000
163,163,0,ff5e,0,1ffffffc,00000000
164,164,0,ff5e,0,1ffffffc,00000000
165,165,0,ff5e,0,000003bc,00000000
166,166,0,ff5e,0,000003c0,00000000
167,167,0,ff5e,0,000003c0,b530bd00
168,168,0,ff5e,0,000003c4,25004604
169,169,0,ff5e,0,000003c8,f44fe005
170,170,0,ff5e,0,000003c8,00000000
171,171,0,ff5e,0,000003c8,00000000
172,172,0,ff5e,0,000003c8,00000000
173,173,0,ff5e,0,000003c8,00000000
174,174,0,ff5e,0,000003e4,00000000
175,175,0,ff5e,0,000003e8,1c60ffdc
176,176,0,ff5e,0,000003ec,429cb284
177,177,0,ff5e,0,000003f0,bd10dbf8
178,178,0,ff5e,0,000003f4,4825b086
179,179,0,ff5e,0,000003e0,f44f6800
180,180,0,ff5e,0,000003e4,f7ff2032
181,181,0,ff5e,0,000003e8,1c60ffdc
182,182,0,ff5e,0,0000039c,429cb284
183,183,0,ff5e,0,000003a0,b5004770
184,184,0,ff5e,0,000003a4,20004602
185,185,0,ff5e,0,000003a8,ff88f7ff
186,186,0,ff5e,0,000003ac,f7ff4610
187,187,0,ff5e,0,000003ac,00000000
188,188,0,ff5e,0,000002b8,2000ff89
189,189,0,ff5e,0,000002bc,21e0f04f
190,190,0,ff5e,0,000002c0,47706108
191,191,0,ff5e,0,000002c4,21e0f04f
192,192,0,ff5e,0,000002c8,47706148
193,193,0,ff5e,0,000003a8,00000000
194,194,0,ff5e,0,0000003c,00000000
195,195,0,ff5e,0,000003ac,000002ed
196,196,0,ff5e,0,000002f0,00000000
197,197,0,ff5e,0,000002f0,00000000
198,198,0,ff5e,0,000002ec,00000000
199,199,0,ff5e,0,000002f0,68004802
200,200,0,ff5e,0,000002f4,49011c40
201,201,0,ff5e,0,000002f8,47706008
202,202,0,ff5e,0,000002f8,00000000
203,203,0,ff5e,0,000002f8,00000000
204,204,0,ff5e,0,000002f8,00000000
205,205,0,ff5e,0,000002f8,20000004
206,206,0,ff5e,0,000002f8,00000000
207,207,0,ff5e,0,000002fc,00000000
208,208,0,ff5e,0,000002fc,20000004
209,209,0,ff5e,0,00000300,4811b51f
210,210,0,ff5e,0,00000300,00000000
211,211,0,ff5e,0,00000300,20000004
212,212,0,ff5e,0,1ffffff8,00000000
213,213,0,ff5e,0,1ffffffc,00000000
214,214,0,ff5e,0,1ffffffc,00000000
215,215,0,ff5e,0,1ffffffc,00000000
